txn_id,customer_id,date,txn_type,amount_inr,country,country_risk,customer_segment,industry,velocity_24h,is_round_number,shell_company_flag,pep_flag,sanctions_flag,multi_account_flag,risk_score,sar_label
TXN000080,CUST1085,2024-03-24,Crypto Exchange,36508.46,UK,Low,Retail,Retail Trade,1,0,0,0,0,0,15,0
TXN000081,CUST1475,2024-07-11,RTGS,13939.11,Germany,Low,SME,Finance,2,0,0,0,0,0,15,0
TXN000082,CUST1353,2024-06-03,RTGS,320185.23,Yemen,High,Corporate,IT Services,6,0,1,0,0,0,85,1
TXN000083,CUST1434,2024-02-24,SWIFT,3078.88,Germany,Low,HNI,Retail Trade,3,0,0,0,0,0,0,0
TXN000084,CUST1424,2024-08-10,Cash Deposit,13934.09,USA,Low,HNI,Healthcare,5,0,0,0,0,0,30,0
TXN000085,CUST1138,2024-10-30,SWIFT,81393.84,UK,Low,HNI,Hospitality,3,0,0,0,0,0,15,0
TXN000086,CUST1425,2024-05-04,SWIFT,7679.13,Japan,Low,Retail,Import/Export,4,0,0,0,0,0,20,0
TXN000087,CUST1342,2024-09-10,Wire Transfer,84708.01,Japan,Low,HNI,Import/Export,3,0,0,0,0,0,15,0
TXN000088,CUST1108,2024-06-23,Cash Withdrawal,159.24,UK,Low,SME,Retail Trade,5,0,0,0,0,0,15,0
TXN000089,CUST1141,2024-02-13,Cash Deposit,27801.74,USA,Low,Retail,Finance,4,0,0,0,0,0,15,0
TXN000090,CUST1388,2024-11-26,SWIFT,9233.29,Australia,Low,Corporate,Healthcare,4,0,0,0,0,0,20,0
TXN000091,CUST1008,2024-07-26,Cash Deposit,5174.45,Australia,Low,Retail,Import/Export,2,0,0,0,0,0,20,0
TXN000092,CUST1297,2024-09-28,NEFT,9298.8,UK,Low,SME,Hospitality,4,0,0,0,0,0,20,0
TXN000093,CUST1281,2024-08-20,RTGS,411.02,UK,Low,SME,Import/Export,3,0,0,0,0,0,0,0
TXN000094,CUST1061,2024-10-01,Wire Transfer,5828.37,Japan,Low,Corporate,Import/Export,2,0,0,0,0,0,20,0
TXN000095,CUST1378,2024-10-28,RTGS,13844.85,Japan,Low,HNI,Import/Export,5,0,0,0,0,0,30,0
TXN000096,CUST1051,2024-07-03,Cash Deposit,74372.47,USA,Low,Corporate,Import/Export,3,0,0,0,0,0,15,0
TXN000097,CUST1273,2024-01-28,Wire Transfer,363837.83,Syria,High,Corporate,Import/Export,8,0,0,0,0,0,65,1
TXN000098,CUST1026,2024-02-28,SWIFT,3724.15,Japan,Low,SME,Retail Trade,1,0,0,0,0,0,0,0
TXN000099,CUST1037,2024-10-15,Cash Deposit,2409.7,UK,Low,Retail,Real Estate,1,0,0,0,0,0,0,0
TXN000100,CUST1060,2024-11-12,NEFT,3817.55,USA,Low,HNI,Finance,5,0,0,0,0,0,15,0
TXN000101,CUST1465,2024-10-28,Crypto Exchange,31987.59,Germany,Low,HNI,Import/Export,3,0,0,0,0,0,15,0
TXN000102,CUST1030,2024-11-16,Cash Deposit,13268.22,USA,Low,Retail,Retail Trade,3,0,0,0,0,0,15,0
TXN000103,CUST1080,2024-02-08,NEFT,3660.52,USA,Low,Corporate,Real Estate,1,0,0,0,0,0,0,0
TXN000104,CUST1352,2024-04-28,Wire Transfer,17499.04,UK,Low,HNI,Import/Export,3,0,0,0,0,0,15,0
TXN000105,CUST1232,2024-05-15,Cash Deposit,9373.26,Japan,Low,Retail,Healthcare,5,0,0,0,0,0,35,0
TXN000106,CUST1478,2024-10-05,Wire Transfer,34647.04,USA,Low,Corporate,Hospitality,2,0,0,0,0,0,15,0
TXN000107,CUST1423,2024-03-25,Wire Transfer,2826.86,Japan,Low,Corporate,IT Services,3,0,0,0,0,0,0,0
TXN000108,CUST1422,2024-08-27,Wire Transfer,4956.76,Australia,Low,SME,Hospitality,3,0,0,0,0,0,20,0
TXN000109,CUST1482,2024-09-09,NEFT,4500.02,Germany,Low,SME,Finance,1,0,0,0,0,0,20,0
TXN000110,CUST1455,2024-11-05,Cash Withdrawal,902.1,UK,Low,HNI,Healthcare,1,0,0,0,0,0,0,0
TXN000111,CUST1492,2024-05-17,RTGS,393399.05,Yemen,High,Retail,Retail Trade,19,0,0,1,0,0,85,1
TXN000112,CUST1046,2024-06-19,SWIFT,12634.42,UK,Low,HNI,Import/Export,1,0,0,0,0,0,15,0
TXN000113,CUST1168,2024-05-27,SWIFT,11987.06,Australia,Low,HNI,Healthcare,4,0,0,0,0,0,15,0
TXN000114,CUST1281,2024-06-10,Wire Transfer,8165.48,UK,Low,Retail,Hospitality,3,0,0,0,0,0,20,0
TXN000115,CUST1395,2024-01-01,NEFT,294167.12,Myanmar,High,HNI,Retail Trade,16,0,0,0,0,1,80,1
TXN000116,CUST1067,2024-09-05,RTGS,5699.42,India,Low,SME,Hospitality,1,0,0,0,0,0,20,0
TXN000117,CUST1311,2024-06-08,Cash Deposit,969.66,Singapore,Low,Corporate,Healthcare,1,0,0,0,0,0,0,0
TXN000118,CUST1047,2024-08-24,Wire Transfer,4311.46,India,Low,Corporate,Retail Trade,2,0,0,0,0,0,20,0
TXN000119,CUST1366,2024-05-19,RTGS,4846.09,Germany,Low,SME,Finance,4,0,0,0,0,0,20,0
TXN000120,CUST1124,2024-07-15,Cash Deposit,2432.28,USA,Low,HNI,Finance,5,0,0,0,0,0,15,0
TXN000121,CUST1450,2024-05-21,Wire Transfer,6361.83,Japan,Low,Corporate,Retail Trade,4,0,0,0,0,0,20,0
TXN000122,CUST1403,2024-05-24,Wire Transfer,14854.77,Australia,Low,SME,Retail Trade,3,0,0,0,0,0,15,0
TXN000123,CUST1296,2024-08-16,Cash Deposit,137211.51,Singapore,Low,HNI,Retail Trade,4,0,0,0,0,0,15,0
TXN000124,CUST1282,2024-04-06,Cash Withdrawal,10528.77,Australia,Low,HNI,Hospitality,2,0,0,0,0,0,15,0
TXN000125,CUST1119,2024-08-30,Cash Withdrawal,11924.2,Australia,Low,HNI,IT Services,4,0,0,0,0,0,15,0
TXN000126,CUST1339,2024-03-05,Wire Transfer,7246.91,Singapore,Low,Corporate,Hospitality,5,0,0,0,0,0,35,0
TXN000127,CUST1051,2024-08-21,NEFT,455.7,India,Low,HNI,IT Services,2,0,0,0,0,0,0,0
TXN000128,CUST1335,2024-05-15,SWIFT,7787.14,UK,Low,Corporate,IT Services,5,0,0,0,0,0,35,0
TXN000129,CUST1332,2024-12-11,Cash Withdrawal,8869.25,Japan,Low,Retail,Retail Trade,5,0,0,0,0,0,35,0
TXN000130,CUST1162,2024-01-19,NEFT,200000.0,Singapore,Low,HNI,Retail Trade,1,1,0,0,0,0,20,0
TXN000131,CUST1350,2024-02-16,RTGS,6072.09,Germany,Low,SME,Real Estate,1,0,0,0,0,0,20,0
TXN000132,CUST1360,2024-12-21,Cash Deposit,12737.7,UK,Low,Retail,Hospitality,1,0,0,0,0,0,15,0
TXN000133,CUST1407,2024-07-10,Cash Withdrawal,159888.84,Somalia,High,Retail,Import/Export,10,0,1,1,0,0,100,1
TXN000134,CUST1467,2024-11-22,SWIFT,7691.97,UK,Low,Corporate,Real Estate,4,0,0,0,0,0,20,0
TXN000135,CUST1004,2024-10-06,RTGS,1403.86,USA,Low,HNI,Import/Export,1,0,0,0,0,0,0,0
TXN000136,CUST1176,2024-12-19,SWIFT,44991.74,UK,Low,SME,Healthcare,4,0,0,0,0,0,15,0
TXN000137,CUST1101,2024-02-24,SWIFT,25031.73,USA,Low,HNI,Retail Trade,4,0,0,0,0,0,15,0
TXN000138,CUST1294,2024-01-12,Cash Withdrawal,26543.71,Japan,Low,SME,Healthcare,4,0,0,0,0,0,15,0
TXN000139,CUST1289,2024-09-11,RTGS,2071.27,Japan,Low,Retail,Finance,3,0,0,0,0,0,0,0
TXN000140,CUST1117,2024-04-07,RTGS,66449.1,Singapore,Low,SME,Real Estate,3,0,0,0,0,0,15,0
TXN000141,CUST1369,2024-11-17,Wire Transfer,989.52,Australia,Low,Corporate,Healthcare,1,0,0,0,0,0,0,0
TXN000142,CUST1225,2024-03-08,Cash Withdrawal,19541.3,India,Low,Retail,Finance,3,0,0,0,0,0,15,0
TXN000143,CUST1212,2024-10-03,Cash Deposit,200000.0,UK,Low,Corporate,Real Estate,5,1,0,0,0,0,35,0
TXN000144,CUST1139,2024-09-03,Crypto Exchange,1833.89,Japan,Low,Corporate,Import/Export,3,0,0,0,0,0,0,0
TXN000145,CUST1173,2024-03-13,Wire Transfer,3465.3,Japan,Low,Retail,Hospitality,2,0,0,0,0,0,0,0
TXN000146,CUST1370,2024-10-12,Crypto Exchange,9409.52,UK,Low,HNI,Retail Trade,1,0,0,0,0,0,20,0
TXN000147,CUST1007,2024-08-20,Wire Transfer,3807.72,UK,Low,SME,Finance,3,0,0,0,0,0,0,0
TXN000148,CUST1421,2024-04-29,RTGS,791.56,Germany,Low,SME,IT Services,1,0,0,0,0,0,0,0
TXN000149,CUST1482,2024-11-27,Cash Deposit,8980.8,India,Low,SME,Finance,4,0,0,0,0,0,20,0
TXN000150,CUST1154,2024-01-24,Cash Deposit,1646.73,India,Low,HNI,IT Services,3,0,0,0,0,0,0,0
TXN000151,CUST1059,2024-03-10,NEFT,16488.01,Germany,Low,Retail,Real Estate,4,0,0,0,0,0,15,0
TXN000152,CUST1486,2024-03-20,RTGS,2040.32,Germany,Low,HNI,Finance,1,0,0,0,0,0,0,0
TXN000153,CUST1315,2024-12-19,Wire Transfer,82859.49,UK,Low,HNI,Import/Export,2,0,0,0,0,0,15,0
TXN000154,CUST1486,2024-02-20,Cash Withdrawal,2502.69,Australia,Low,Corporate,Retail Trade,3,0,0,0,0,0,0,0
TXN000155,CUST1500,2024-05-21,SWIFT,4998.57,USA,Low,SME,IT Services,1,0,0,0,0,0,20,0
TXN000156,CUST1421,2024-04-18,RTGS,27454.24,Australia,Low,HNI,IT Services,5,0,0,0,0,0,30,0
TXN000157,CUST1025,2024-10-16,Cash Deposit,1278.83,USA,Low,SME,Real Estate,1,0,0,0,0,0,0,0
TXN000158,CUST1283,2024-04-29,Cash Deposit,11397.96,UK,Low,Corporate,Finance,2,0,0,0,0,0,15,0
TXN000159,CUST1305,2024-03-15,Crypto Exchange,57567.54,USA,Low,Retail,Import/Export,5,0,0,0,0,0,30,0
TXN000160,CUST1089,2024-01-14,Crypto Exchange,726.89,USA,Low,Retail,Healthcare,1,0,0,0,0,0,0,0
TXN000161,CUST1403,2024-01-09,Cash Withdrawal,10688.79,USA,Low,Corporate,Finance,3,0,0,0,0,0,15,0
TXN000162,CUST1379,2024-02-02,Wire Transfer,400107.67,Iran,High,HNI,Finance,19,0,0,0,1,0,90,1
TXN000163,CUST1266,2024-01-16,RTGS,11966.0,India,Low,SME,Hospitality,4,0,0,0,0,0,15,0
TXN000164,CUST1218,2024-08-15,RTGS,26179.56,India,Low,Retail,Hospitality,1,0,0,0,0,0,15,0
TXN000165,CUST1075,2024-11-15,Cash Withdrawal,1267.21,Australia,Low,Retail,Real Estate,5,0,0,0,0,0,15,0
TXN000166,CUST1166,2024-05-30,NEFT,1118.02,Germany,Low,HNI,Finance,5,0,0,0,0,0,15,0
TXN000167,CUST1050,2024-11-29,RTGS,17728.21,Japan,Low,Retail,Retail Trade,5,0,0,0,0,0,30,0
TXN000168,CUST1110,2024-07-30,Cash Deposit,12650.82,UK,Low,HNI,Hospitality,4,0,0,0,0,0,15,0
TXN000169,CUST1373,2024-06-09,SWIFT,11798.64,Australia,Low,Retail,Import/Export,3,0,0,0,0,0,15,0
TXN000170,CUST1078,2024-02-13,Wire Transfer,13625.15,India,Low,HNI,IT Services,4,0,0,0,0,0,15,0
TXN000171,CUST1378,2024-10-11,Cash Deposit,9760.48,Australia,Low,SME,Retail Trade,8,0,0,0,0,0,35,1
TXN000172,CUST1026,2024-06-29,Cash Withdrawal,2921.82,India,Low,SME,Finance,5,0,0,0,0,0,15,0
TXN000173,CUST1079,2024-02-25,Crypto Exchange,11480.22,UK,Low,HNI,Real Estate,5,0,0,0,0,0,30,0
TXN000174,CUST1390,2024-08-07,Cash Deposit,12576.79,Japan,Low,SME,Finance,5,0,0,0,0,0,30,0
TXN000175,CUST1419,2024-12-21,RTGS,2775.19,UK,Low,Retail,Finance,1,0,0,0,0,0,0,0
TXN000176,CUST1359,2024-01-04,Cash Withdrawal,133074.15,USA,Low,SME,Import/Export,2,0,0,0,0,0,15,0
TXN000177,CUST1205,2024-11-20,RTGS,16493.96,India,Low,Retail,Real Estate,1,0,0,0,0,0,15,0
TXN000178,CUST1110,2024-06-23,SWIFT,1357.02,USA,Low,HNI,Hospitality,3,0,0,0,0,0,0,0
TXN000179,CUST1166,2024-03-21,Cash Deposit,21694.85,Japan,Low,Retail,IT Services,5,0,0,0,0,0,30,0
TXN000180,CUST1041,2024-08-05,RTGS,248919.88,Yemen,High,SME,Hospitality,8,0,1,1,0,0,100,1
TXN000181,CUST1157,2024-11-02,SWIFT,1878.03,India,Low,Retail,Real Estate,1,0,0,0,0,0,0,0
TXN000182,CUST1484,2024-05-10,Cash Deposit,26387.0,UK,Low,Corporate,Retail Trade,3,0,0,0,0,0,15,0
TXN000183,CUST1254,2024-07-13,Cash Deposit,153549.82,Australia,Low,HNI,Real Estate,16,0,1,0,1,1,90,1
TXN000184,CUST1441,2024-10-20,SWIFT,46068.9,Germany,Low,SME,Finance,4,0,0,0,0,0,15,0
TXN000185,CUST1207,2024-11-12,Cash Deposit,2366.05,Germany,Low,Retail,Import/Export,3,0,0,0,0,0,0,0
TXN000186,CUST1432,2024-10-28,SWIFT,85391.19,Australia,Low,Retail,Real Estate,15,0,1,0,1,0,75,1
TXN000187,CUST1099,2024-11-26,RTGS,34374.29,Japan,Low,SME,Import/Export,2,0,0,0,0,0,15,0
TXN000188,CUST1074,2024-11-04,Cash Deposit,15050.57,USA,Low,SME,Real Estate,1,0,0,0,0,0,15,0
TXN000189,CUST1395,2024-10-15,Crypto Exchange,252007.37,Singapore,Low,HNI,Hospitality,15,0,0,0,1,1,70,1
TXN000190,CUST1155,2024-06-29,Wire Transfer,27808.31,Singapore,Low,SME,Finance,1,0,0,0,0,0,15,0
TXN000191,CUST1231,2024-05-26,Cash Withdrawal,139412.09,India,Low,Retail,IT Services,1,0,0,0,0,0,15,0
TXN000192,CUST1259,2024-10-10,NEFT,5607.82,Japan,Low,HNI,Hospitality,1,0,0,0,0,0,20,0
TXN000193,CUST1414,2024-08-31,NEFT,2615.98,Singapore,Low,Corporate,Import/Export,2,0,0,0,0,0,0,0
TXN000194,CUST1230,2024-06-24,Crypto Exchange,2133.95,Australia,Low,Retail,Retail Trade,1,0,0,0,0,0,0,0
TXN000195,CUST1088,2024-08-12,RTGS,2383.4,Germany,Low,Retail,Real Estate,5,0,0,0,0,0,15,0
TXN000196,CUST1081,2024-07-17,Cash Withdrawal,7218.1,Germany,Low,SME,Import/Export,3,0,0,0,0,0,20,0
TXN000197,CUST1026,2024-02-18,Cash Withdrawal,13517.33,Singapore,Low,SME,IT Services,4,0,0,0,0,0,15,0
TXN000198,CUST1370,2024-10-25,Wire Transfer,12271.52,Australia,Low,Corporate,Import/Export,2,0,0,0,0,0,15,0
TXN000199,CUST1158,2024-12-28,NEFT,28022.83,India,Low,HNI,Real Estate,3,0,0,0,0,0,15,0
TXN000200,CUST1329,2024-12-09,Cash Deposit,8262.67,Australia,Low,SME,Retail Trade,5,0,0,0,0,0,35,0
TXN000201,CUST1343,2024-01-10,Cash Withdrawal,5491.27,Syria,High,HNI,Finance,11,0,1,1,1,0,100,1
TXN000202,CUST1394,2024-11-12,Cash Withdrawal,6571.58,Somalia,High,Retail,Healthcare,10,0,0,1,0,0,90,1
TXN000203,CUST1312,2024-08-17,RTGS,71703.95,USA,Low,SME,Retail Trade,5,0,0,0,0,0,30,0
TXN000204,CUST1494,2024-07-07,Cash Deposit,5448.06,Australia,Low,HNI,Retail Trade,5,0,0,0,0,0,35,0
TXN000205,CUST1236,2024-09-14,SWIFT,200000.0,Singapore,Low,SME,Retail Trade,4,1,0,0,0,0,20,0
TXN000206,CUST1418,2024-03-11,NEFT,20712.67,Japan,Low,Corporate,Retail Trade,3,0,0,0,0,0,15,0
TXN000207,CUST1246,2024-12-30,Wire Transfer,433024.72,Myanmar,High,SME,Finance,13,0,0,0,0,1,80,1
TXN000208,CUST1418,2024-07-31,Wire Transfer,2240.07,India,Low,HNI,Import/Export,4,0,0,0,0,0,0,0
TXN000209,CUST1120,2024-04-24,Cash Withdrawal,1625.65,India,Low,HNI,IT Services,3,0,0,0,0,0,0,0
TXN000210,CUST1429,2024-03-11,Cash Deposit,16709.1,India,Low,SME,Retail Trade,3,0,0,0,0,0,15,0
TXN000211,CUST1241,2024-08-28,RTGS,5795.32,Germany,Low,Corporate,Retail Trade,5,0,0,0,0,0,35,0
TXN000212,CUST1040,2024-03-17,Cash Deposit,377255.65,Iran,High,Retail,Import/Export,14,0,1,1,0,0,100,1
TXN000213,CUST1032,2024-11-01,SWIFT,23647.22,Singapore,Low,Retail,Retail Trade,1,0,0,0,0,0,15,0
TXN000214,CUST1294,2024-05-29,Cash Deposit,16479.24,Germany,Low,Corporate,Healthcare,1,0,0,0,0,0,15,0
TXN000215,CUST1123,2024-12-08,RTGS,7264.51,India,Low,HNI,Real Estate,5,0,0,0,0,0,35,0
TXN000216,CUST1034,2024-08-28,Crypto Exchange,2275.17,India,Low,Retail,Hospitality,4,0,0,0,0,0,0,0
TXN000217,CUST1129,2024-02-04,Crypto Exchange,835.25,UK,Low,Retail,Import/Export,2,0,0,0,0,0,0,0
TXN000218,CUST1321,2024-06-19,NEFT,4147.36,USA,Low,Retail,Retail Trade,1,0,0,0,0,0,20,0
