txn_id,customer_id,date,txn_type,amount_inr,country,country_risk,customer_segment,industry,velocity_24h,is_round_number,shell_company_flag,pep_flag,sanctions_flag,multi_account_flag,risk_score,sar_label,country_risk_enc,segment_enc,txn_type_enc,industry_enc,amount_log,structuring_flag,high_value_flag,combined_alert_score,ml_risk_score,ml_alert,risk_tier
TXN000024,CUST1173,2024-04-27,NEFT,974.13,Singapore,Low,Retail,Finance,2,0,0,0,0,0,0,0,1,2,3,0,6.8825707954430815,0,0,0,0.2,0,Low
TXN000025,CUST1362,2024-01-17,Wire Transfer,81885.81,Somalia,High,Retail,Real Estate,20,0,1,1,0,0,100,1,0,2,6,5,11.313093206810157,0,0,2,100.0,1,High
TXN000026,CUST1401,2024-04-07,SWIFT,73018.87,India,Low,HNI,Retail Trade,1,0,0,0,0,0,15,0,1,1,5,6,11.198486874873888,0,0,0,0.2,0,Low
TXN000027,CUST1181,2024-01-28,SWIFT,5775.24,Australia,Low,HNI,Hospitality,1,0,0,0,0,0,20,0,1,1,5,2,8.66150823095597,1,0,0,0.7,0,Low
TXN000028,CUST1372,2024-02-25,Crypto Exchange,5545.96,Syria,High,SME,Retail Trade,10,0,1,1,0,0,100,1,0,3,2,6,8.621005308924133,1,0,2,100.0,1,High
TXN000029,CUST1281,2024-10-03,RTGS,8966.87,Japan,Low,Retail,IT Services,1,0,0,0,0,0,20,0,1,2,4,3,9.101403468661202,1,0,0,0.5,0,Low
TXN000030,CUST1474,2024-09-05,SWIFT,956.11,Germany,Low,Corporate,Real Estate,2,0,0,0,0,0,0,0,1,0,5,5,6.863918327376304,0,0,0,0.1,0,Low
TXN000031,CUST1462,2024-01-02,SWIFT,3581.1,Germany,Low,Retail,Real Estate,3,0,0,0,0,0,0,0,1,2,5,5,8.183704499595576,0,0,0,0.0,0,Low
TXN000032,CUST1401,2024-12-22,SWIFT,9569.96,Australia,Low,HNI,Import/Export,5,0,0,0,0,0,35,0,1,1,5,4,9.166488792895564,1,0,0,2.0,0,Low
TXN000033,CUST1249,2024-04-21,Cash Withdrawal,1441.6,India,Low,Corporate,Real Estate,5,0,0,0,0,0,15,0,1,0,1,5,7.2742023200695725,0,0,0,0.4,0,Low
TXN000034,CUST1031,2024-10-26,Wire Transfer,14236.25,Germany,Low,SME,IT Services,5,0,0,0,0,0,30,0,1,3,6,3,9.563617048338761,0,0,0,0.6,0,Low
TXN000035,CUST1271,2024-02-11,NEFT,3291.31,Japan,Low,Corporate,IT Services,2,0,0,0,0,0,0,0,1,0,3,3,8.099344725042686,0,0,0,0.1,0,Low
TXN000036,CUST1034,2024-10-18,Wire Transfer,7769.26,Germany,Low,Corporate,Hospitality,15,0,0,1,0,1,70,1,1,0,6,2,8.958058904835314,1,0,2,100.0,1,High
TXN000037,CUST1343,2024-02-07,Cash Withdrawal,5231.53,India,Low,SME,Hospitality,4,0,0,0,0,0,20,0,1,3,1,2,8.562650187700756,1,0,0,1.4,0,Low
TXN000038,CUST1288,2024-04-19,NEFT,3286.05,Singapore,Low,Retail,IT Services,3,0,0,0,0,0,0,0,1,2,3,3,8.097745784987529,0,0,0,0.1,0,Low
TXN000039,CUST1178,2024-05-25,Cash Withdrawal,9084.76,Singapore,Low,Retail,Real Estate,5,0,0,0,0,1,50,1,1,2,1,5,9.114463631706784,1,0,1,77.0,1,High
TXN000040,CUST1135,2024-10-10,RTGS,130407.22,USA,Low,Retail,IT Services,3,0,0,0,0,0,15,0,1,2,4,3,11.77842496329777,0,1,0,4.2,0,Low
TXN000041,CUST1107,2024-11-20,RTGS,7940.68,Japan,Low,SME,Real Estate,3,0,0,0,0,0,20,0,1,3,4,5,8.979880118761594,1,0,0,0.8,0,Low
TXN000042,CUST1128,2024-08-04,RTGS,1658.11,Japan,Low,Retail,IT Services,3,0,0,0,0,0,0,0,1,2,4,3,7.414036592995378,0,0,0,0.1,0,Low
TXN000043,CUST1170,2024-03-23,Cash Withdrawal,298256.19,Iran,High,Corporate,Healthcare,8,0,1,0,0,0,85,1,0,0,1,1,12.605711446962125,0,1,1,100.0,1,High
TXN000044,CUST1298,2024-01-22,Cash Deposit,27828.54,UK,Low,Corporate,Hospitality,3,0,0,0,0,0,15,0,1,0,0,2,10.233853325457712,0,0,0,0.2,0,Low
TXN000045,CUST1407,2024-12-15,Cash Deposit,1298.2,USA,Low,Retail,Import/Export,1,0,0,0,0,0,0,0,1,2,0,4,7.169503969407414,0,0,0,0.2,0,Low
TXN000046,CUST1286,2024-03-20,RTGS,11084.42,USA,Low,HNI,Finance,2,0,0,0,0,0,15,0,1,1,4,0,9.313386010371882,0,0,0,0.2,0,Low
TXN000047,CUST1415,2024-04-01,Wire Transfer,428.59,Australia,Low,Corporate,Hospitality,3,0,0,0,0,0,0,0,1,0,6,2,6.062831265456319,0,0,0,0.2,0,Low
TXN000048,CUST1210,2024-12-25,Cash Deposit,1105.13,India,Low,Corporate,Import/Export,4,0,0,0,0,0,0,0,1,0,0,4,7.008622715862076,0,0,0,0.1,0,Low
TXN000049,CUST1439,2024-08-23,Cash Deposit,10886.64,UK,Low,HNI,Real Estate,3,0,0,0,0,0,15,0,1,1,0,5,9.295383479861092,0,0,0,0.1,0,Low
TXN000050,CUST1446,2024-12-03,Wire Transfer,24531.17,USA,Low,Corporate,Real Estate,4,0,0,0,0,0,15,0,1,0,6,5,10.107740596446305,0,0,0,0.2,0,Low
TXN000051,CUST1442,2024-06-28,Cash Withdrawal,10478.2,Australia,Low,Retail,Retail Trade,5,0,0,0,0,0,30,0,1,2,1,6,9.257147619083439,0,0,0,0.3,0,Low
TXN000052,CUST1431,2024-05-13,Wire Transfer,6812.59,USA,Low,SME,IT Services,5,0,0,0,0,0,35,0,1,3,6,3,8.826674426172865,1,0,0,5.6,0,Low
TXN000053,CUST1135,2024-08-10,NEFT,5158.21,UK,Low,Retail,IT Services,3,0,0,0,0,0,20,0,1,2,3,3,8.548538745979295,1,0,0,0.6,0,Low
TXN000054,CUST1261,2024-04-07,NEFT,882.02,UK,Low,Retail,Hospitality,1,0,0,0,0,0,0,0,1,2,3,2,6.783347850404076,0,0,0,0.1,0,Low
TXN000055,CUST1000,2024-02-05,SWIFT,2752.41,Australia,Low,Corporate,Import/Export,3,0,0,0,0,0,0,0,1,0,5,4,7.920595422495568,0,0,0,0.1,0,Low
TXN000056,CUST1339,2024-09-16,Cash Withdrawal,4060.42,UK,Low,Retail,Healthcare,4,0,0,0,0,0,20,0,1,2,1,1,8.309287945140793,0,0,0,0.2,0,Low
TXN000057,CUST1356,2024-04-08,Cash Deposit,39564.33,Germany,Low,SME,Finance,4,0,0,0,0,0,15,0,1,3,0,0,10.58570850871368,0,0,0,0.3,0,Low
TXN000058,CUST1462,2024-06-03,NEFT,13567.43,Germany,Low,Corporate,Finance,5,0,0,0,0,0,30,0,1,0,3,0,9.515501049746478,0,0,0,0.3,0,Low
TXN000059,CUST1155,2024-10-23,SWIFT,575.62,Singapore,Low,SME,Real Estate,3,0,0,0,0,0,0,0,1,3,5,5,6.357183470693631,0,0,0,0.1,0,Low
TXN000060,CUST1226,2024-03-27,SWIFT,13175.65,Australia,Low,Corporate,Finance,1,0,0,0,0,0,15,0,1,0,5,0,9.486201602759692,0,0,0,0.1,0,Low
TXN000061,CUST1339,2024-04-30,Crypto Exchange,4547.7,Australia,Low,SME,IT Services,3,0,0,0,0,0,20,0,1,3,2,3,8.42259675683518,1,0,0,1.9,0,Low
TXN000062,CUST1101,2024-05-05,Wire Transfer,2935.45,Germany,Low,Corporate,IT Services,5,0,0,0,0,0,15,0,1,0,6,3,7.984956647744566,0,0,0,0.6,0,Low
TXN000063,CUST1037,2024-10-21,RTGS,20282.51,USA,Low,HNI,Hospitality,4,0,0,0,0,0,15,0,1,1,4,2,9.917563519652113,0,0,0,0.1,0,Low
TXN000064,CUST1124,2024-01-03,RTGS,38044.02,Japan,Low,Corporate,Healthcare,1,0,0,0,0,0,15,0,1,0,4,1,10.546525474303742,0,0,0,0.1,0,Low
TXN000065,CUST1112,2024-09-22,RTGS,32758.58,Germany,Low,Corporate,Retail Trade,1,0,0,0,0,0,15,0,1,0,4,6,10.396950717372002,0,0,0,0.1,0,Low
TXN000066,CUST1469,2024-08-25,Cash Deposit,2301.17,Australia,Low,Retail,Hospitality,5,0,0,0,0,0,15,0,1,2,0,2,7.741607435382244,0,0,0,0.9,0,Low
TXN000067,CUST1304,2024-11-09,SWIFT,5095.85,Japan,Low,SME,Retail Trade,5,0,0,0,0,0,35,0,1,3,5,6,8.536377980831071,1,0,0,5.3,0,Low
TXN000068,CUST1464,2024-08-31,RTGS,13318.31,Germany,Low,HNI,Real Estate,3,0,0,0,0,0,15,0,1,1,4,5,9.496970140950818,0,0,0,0.1,0,Low
TXN000069,CUST1430,2024-09-23,Crypto Exchange,35007.5,Germany,Low,SME,Retail Trade,2,0,0,0,0,0,15,0,1,3,2,6,10.463346168129386,0,0,0,0.2,0,Low
TXN000070,CUST1039,2024-06-20,Cash Withdrawal,3949.08,UK,Low,SME,Real Estate,5,0,0,0,0,0,15,0,1,3,1,5,8.281491110854631,0,0,0,0.7,0,Low
TXN000071,CUST1077,2024-03-19,RTGS,78902.98,Yemen,High,Corporate,Hospitality,19,0,0,1,0,0,85,1,0,0,4,2,11.275986949161222,0,0,1,100.0,1,High
TXN000072,CUST1356,2024-10-21,Crypto Exchange,6133.44,Germany,Low,Retail,Retail Trade,4,0,0,0,0,0,20,0,1,2,2,6,8.721674073435178,1,0,0,0.6,0,Low
TXN000073,CUST1180,2024-08-02,SWIFT,380585.33,USA,Low,SME,Retail Trade,20,0,1,0,1,1,90,1,1,3,5,6,12.849468316225956,0,1,3,100.0,1,High
TXN000074,CUST1207,2024-03-06,SWIFT,1541.48,Singapore,Low,Corporate,Retail Trade,5,0,0,0,0,0,15,0,1,0,5,6,7.34114678973114,0,0,0,0.4,0,Low
TXN000075,CUST1201,2024-08-07,RTGS,7038.88,Syria,High,Retail,IT Services,15,0,1,0,0,0,90,1,0,2,4,3,8.859346403552268,1,0,1,100.0,1,High
TXN000076,CUST1425,2024-02-11,Crypto Exchange,1347.07,Germany,Low,HNI,Import/Export,1,0,0,0,0,0,0,0,1,1,2,4,7.206429218907383,0,0,0,0.1,0,Low
TXN000077,CUST1026,2024-02-05,RTGS,27413.44,Japan,Low,SME,Real Estate,1,0,0,0,0,0,15,0,1,3,4,5,10.218825160855856,0,0,0,0.1,0,Low
TXN000078,CUST1486,2024-01-11,Crypto Exchange,61967.17,Singapore,Low,Corporate,Real Estate,2,0,0,0,0,0,15,0,1,0,2,5,11.034376145102177,0,0,0,0.2,0,Low
TXN000079,CUST1242,2024-08-26,Cash Deposit,7273.44,Australia,Low,Retail,Finance,3,0,0,0,0,0,20,0,1,2,0,0,8.892122113131876,1,0,0,2.7,0,Low
TXN000080,CUST1085,2024-03-24,Crypto Exchange,36508.46,UK,Low,Retail,Retail Trade,1,0,0,0,0,0,15,0,1,2,2,6,10.505326684071937,0,0,0,0.1,0,Low
TXN000081,CUST1475,2024-07-11,RTGS,13939.11,Germany,Low,SME,Finance,2,0,0,0,0,0,15,0,1,3,4,0,9.542525575244644,0,0,0,0.1,0,Low
TXN000082,CUST1353,2024-06-03,RTGS,320185.23,Yemen,High,Corporate,IT Services,6,0,1,0,0,0,85,1,0,0,4,3,12.676658074247769,0,1,1,100.0,1,High
TXN000083,CUST1434,2024-02-24,SWIFT,3078.88,Germany,Low,HNI,Retail Trade,3,0,0,0,0,0,0,0,1,1,5,6,8.032645914169658,0,0,0,0.1,0,Low
TXN000084,CUST1424,2024-08-10,Cash Deposit,13934.09,USA,Low,HNI,Healthcare,5,0,0,0,0,0,30,0,1,1,0,1,9.54216539845278,0,0,0,0.7,0,Low
TXN000085,CUST1138,2024-10-30,SWIFT,81393.84,UK,Low,HNI,Hospitality,3,0,0,0,0,0,15,0,1,1,5,2,11.307067159317969,0,0,0,0.5,0,Low
TXN000086,CUST1425,2024-05-04,SWIFT,7679.13,Japan,Low,Retail,Import/Export,4,0,0,0,0,0,20,0,1,2,5,4,8.94639175308179,1,0,0,1.1,0,Low
TXN000087,CUST1342,2024-09-10,Wire Transfer,84708.01,Japan,Low,HNI,Import/Export,3,0,0,0,0,0,15,0,1,1,6,4,11.346977250425418,0,0,0,0.5,0,Low
TXN000088,CUST1108,2024-06-23,Cash Withdrawal,159.24,UK,Low,SME,Retail Trade,5,0,0,0,0,0,15,0,1,3,1,6,5.076672691357563,0,0,0,0.7,0,Low
TXN000089,CUST1141,2024-02-13,Cash Deposit,27801.74,USA,Low,Retail,Finance,4,0,0,0,0,0,15,0,1,2,0,0,10.232889855972976,0,0,0,0.3,0,Low
TXN000090,CUST1388,2024-11-26,SWIFT,9233.29,Australia,Low,Corporate,Healthcare,4,0,0,0,0,0,20,0,1,0,5,1,9.130679008248467,1,0,0,2.0,0,Low
TXN000091,CUST1008,2024-07-26,Cash Deposit,5174.45,Australia,Low,Retail,Import/Export,2,0,0,0,0,0,20,0,1,2,0,4,8.551681570874809,1,0,0,3.8,0,Low
TXN000092,CUST1297,2024-09-28,NEFT,9298.8,UK,Low,SME,Hospitality,4,0,0,0,0,0,20,0,1,3,3,2,9.13774817353376,1,0,0,0.5,0,Low
TXN000093,CUST1281,2024-08-20,RTGS,411.02,UK,Low,SME,Import/Export,3,0,0,0,0,0,0,0,1,3,4,4,6.02107189186064,0,0,0,0.1,0,Low
TXN000094,CUST1061,2024-10-01,Wire Transfer,5828.37,Japan,Low,Corporate,Import/Export,2,0,0,0,0,0,20,0,1,0,6,4,8.670664211755875,1,0,0,2.1,0,Low
TXN000095,CUST1378,2024-10-28,RTGS,13844.85,Japan,Low,HNI,Import/Export,5,0,0,0,0,0,30,0,1,1,4,4,9.535740827725583,0,0,0,0.2,0,Low
TXN000096,CUST1051,2024-07-03,Cash Deposit,74372.47,USA,Low,Corporate,Import/Export,3,0,0,0,0,0,15,0,1,0,0,4,11.216854571207765,0,0,0,0.3,0,Low
TXN000097,CUST1273,2024-01-28,Wire Transfer,363837.83,Syria,High,Corporate,Import/Export,8,0,0,0,0,0,65,1,0,0,6,4,12.80446627383993,0,1,0,98.0,1,High
TXN000098,CUST1026,2024-02-28,SWIFT,3724.15,Japan,Low,SME,Retail Trade,1,0,0,0,0,0,0,0,1,3,5,6,8.222862398459283,0,0,0,0.3,0,Low
TXN000099,CUST1037,2024-10-15,Cash Deposit,2409.7,UK,Low,Retail,Real Estate,1,0,0,0,0,0,0,0,1,2,0,5,7.787672440741933,0,0,0,0.1,0,Low
TXN000100,CUST1060,2024-11-12,NEFT,3817.55,USA,Low,HNI,Finance,5,0,0,0,0,0,15,0,1,1,3,0,8.247626048389627,0,0,0,1.1,0,Low
TXN000101,CUST1465,2024-10-28,Crypto Exchange,31987.59,Germany,Low,HNI,Import/Export,3,0,0,0,0,0,15,0,1,1,2,4,10.373134555698341,0,0,0,0.1,0,Low
TXN000102,CUST1030,2024-11-16,Cash Deposit,13268.22,USA,Low,Retail,Retail Trade,3,0,0,0,0,0,15,0,1,2,0,6,9.493202346397483,0,0,0,0.3,0,Low
TXN000103,CUST1080,2024-02-08,NEFT,3660.52,USA,Low,Corporate,Real Estate,1,0,0,0,0,0,0,0,1,0,3,5,8.205633640728458,0,0,0,0.1,0,Low
TXN000104,CUST1352,2024-04-28,Wire Transfer,17499.04,UK,Low,HNI,Import/Export,3,0,0,0,0,0,15,0,1,1,6,4,9.76995844562328,0,0,0,0.2,0,Low
TXN000105,CUST1232,2024-05-15,Cash Deposit,9373.26,Japan,Low,Retail,Healthcare,5,0,0,0,0,0,35,0,1,2,0,1,9.145722914389879,1,0,0,4.3,0,Low
TXN000106,CUST1478,2024-10-05,Wire Transfer,34647.04,USA,Low,Corporate,Hospitality,2,0,0,0,0,0,15,0,1,0,6,2,10.452996437361586,0,0,0,0.2,0,Low
TXN000107,CUST1423,2024-03-25,Wire Transfer,2826.86,Japan,Low,Corporate,IT Services,3,0,0,0,0,0,0,0,1,0,6,3,7.947275520840558,0,0,0,0.2,0,Low
TXN000108,CUST1422,2024-08-27,Wire Transfer,4956.76,Australia,Low,SME,Hospitality,3,0,0,0,0,0,20,0,1,3,6,2,8.508709304807928,1,0,0,1.2,0,Low
TXN000109,CUST1482,2024-09-09,NEFT,4500.02,Germany,Low,SME,Finance,1,0,0,0,0,0,20,0,1,3,3,0,8.41205931674007,1,0,0,1.2,0,Low
TXN000110,CUST1455,2024-11-05,Cash Withdrawal,902.1,UK,Low,HNI,Healthcare,1,0,0,0,0,0,0,0,1,1,1,1,6.8058332892567535,0,0,0,0.2,0,Low
TXN000111,CUST1492,2024-05-17,RTGS,393399.05,Yemen,High,Retail,Retail Trade,19,0,0,1,0,0,85,1,0,2,4,6,12.88258231203419,0,1,1,100.0,1,High
TXN000112,CUST1046,2024-06-19,SWIFT,12634.42,UK,Low,HNI,Import/Export,1,0,0,0,0,0,15,0,1,1,5,4,9.444259260267055,0,0,0,0.2,0,Low
TXN000113,CUST1168,2024-05-27,SWIFT,11987.06,Australia,Low,HNI,Healthcare,4,0,0,0,0,0,15,0,1,1,5,1,9.391666433429034,0,0,0,0.2,0,Low
TXN000114,CUST1281,2024-06-10,Wire Transfer,8165.48,UK,Low,Retail,Hospitality,3,0,0,0,0,0,20,0,1,2,6,2,9.007793250460622,1,0,0,1.6,0,Low
TXN000115,CUST1395,2024-01-01,NEFT,294167.12,Myanmar,High,HNI,Retail Trade,16,0,0,0,0,1,80,1,0,1,3,6,12.59190671961919,0,1,1,100.0,1,High
TXN000116,CUST1067,2024-09-05,RTGS,5699.42,India,Low,SME,Hospitality,1,0,0,0,0,0,20,0,1,3,4,2,8.64829513531862,1,0,0,0.8,0,Low
TXN000117,CUST1311,2024-06-08,Cash Deposit,969.66,Singapore,Low,Corporate,Healthcare,1,0,0,0,0,0,0,0,1,0,0,1,6.877976252493013,0,0,0,0.1,0,Low
TXN000118,CUST1047,2024-08-24,Wire Transfer,4311.46,India,Low,Corporate,Retail Trade,2,0,0,0,0,0,20,0,1,0,6,6,8.36926378593428,0,0,0,0.2,0,Low
TXN000119,CUST1366,2024-05-19,RTGS,4846.09,Germany,Low,SME,Finance,4,0,0,0,0,0,20,0,1,3,4,0,8.486133803859497,1,0,0,1.3,0,Low
TXN000120,CUST1124,2024-07-15,Cash Deposit,2432.28,USA,Low,HNI,Finance,5,0,0,0,0,0,15,0,1,1,0,0,7.796995420419955,0,0,0,6.0,0,Low
TXN000121,CUST1450,2024-05-21,Wire Transfer,6361.83,Japan,Low,Corporate,Retail Trade,4,0,0,0,0,0,20,0,1,0,6,6,8.758228525918478,1,0,0,2.6,0,Low
TXN000122,CUST1403,2024-05-24,Wire Transfer,14854.77,Australia,Low,SME,Retail Trade,3,0,0,0,0,0,15,0,1,3,6,6,9.606143620952544,0,0,0,0.4,0,Low
TXN000123,CUST1296,2024-08-16,Cash Deposit,137211.51,Singapore,Low,HNI,Retail Trade,4,0,0,0,0,0,15,0,1,1,0,6,11.829286170875227,0,1,0,3.8,0,Low
TXN000124,CUST1282,2024-04-06,Cash Withdrawal,10528.77,Australia,Low,HNI,Hospitality,2,0,0,0,0,0,15,0,1,1,1,2,9.261961762534298,0,0,0,0.3,0,Low
TXN000125,CUST1119,2024-08-30,Cash Withdrawal,11924.2,Australia,Low,HNI,IT Services,4,0,0,0,0,0,15,0,1,1,1,3,9.386409087104372,0,0,0,0.3,0,Low
TXN000126,CUST1339,2024-03-05,Wire Transfer,7246.91,Singapore,Low,Corporate,Hospitality,5,0,0,0,0,0,35,0,1,0,6,2,8.888468430427178,1,0,0,2.6,0,Low
TXN000127,CUST1051,2024-08-21,NEFT,455.7,India,Low,HNI,IT Services,2,0,0,0,0,0,0,0,1,1,3,3,6.124026720190953,0,0,0,0.1,0,Low
TXN000128,CUST1335,2024-05-15,SWIFT,7787.14,UK,Low,Corporate,IT Services,5,0,0,0,0,0,35,0,1,0,5,3,8.960357342704425,1,0,0,2.6,0,Low
TXN000129,CUST1332,2024-12-11,Cash Withdrawal,8869.25,Japan,Low,Retail,Retail Trade,5,0,0,0,0,0,35,0,1,2,1,6,9.090458259799336,1,0,0,2.3,0,Low
TXN000130,CUST1162,2024-01-19,NEFT,200000.0,Singapore,Low,HNI,Retail Trade,1,1,0,0,0,0,20,0,1,1,3,6,12.206077645517674,0,1,0,0.3,0,Low
TXN000131,CUST1350,2024-02-16,RTGS,6072.09,Germany,Low,SME,Real Estate,1,0,0,0,0,0,20,0,1,3,4,5,8.71162281548149,1,0,0,1.1,0,Low
TXN000132,CUST1360,2024-12-21,Cash Deposit,12737.7,UK,Low,Retail,Hospitality,1,0,0,0,0,0,15,0,1,2,0,2,9.45239988310331,0,0,0,0.2,0,Low
TXN000133,CUST1407,2024-07-10,Cash Withdrawal,159888.84,Somalia,High,Retail,Import/Export,10,0,1,1,0,0,100,1,0,2,1,4,11.982240357090992,0,1,2,100.0,1,High
TXN000134,CUST1467,2024-11-22,SWIFT,7691.97,UK,Low,Corporate,Real Estate,4,0,0,0,0,0,20,0,1,0,5,5,8.9480622038023,1,0,0,2.1,0,Low
TXN000135,CUST1004,2024-10-06,RTGS,1403.86,USA,Low,HNI,Import/Export,1,0,0,0,0,0,0,0,1,1,4,4,7.247692932674926,0,0,0,0.1,0,Low
TXN000136,CUST1176,2024-12-19,SWIFT,44991.74,UK,Low,SME,Healthcare,4,0,0,0,0,0,15,0,1,3,5,1,10.714256422403501,0,0,0,0.2,0,Low
TXN000137,CUST1101,2024-02-24,SWIFT,25031.73,USA,Low,HNI,Retail Trade,4,0,0,0,0,0,15,0,1,1,5,6,10.127939447595276,0,0,0,0.2,0,Low
TXN000138,CUST1294,2024-01-12,Cash Withdrawal,26543.71,Japan,Low,SME,Healthcare,4,0,0,0,0,0,15,0,1,3,1,1,10.186585760113491,0,0,0,0.3,0,Low
TXN000139,CUST1289,2024-09-11,RTGS,2071.27,Japan,Low,Retail,Finance,3,0,0,0,0,0,0,0,1,2,4,0,7.636399903770218,0,0,0,0.2,0,Low
TXN000140,CUST1117,2024-04-07,RTGS,66449.1,Singapore,Low,SME,Real Estate,3,0,0,0,0,0,15,0,1,3,4,5,11.104206569031154,0,0,0,0.3,0,Low
TXN000141,CUST1369,2024-11-17,Wire Transfer,989.52,Australia,Low,Corporate,Healthcare,1,0,0,0,0,0,0,0,1,0,6,1,6.898230057757066,0,0,0,0.1,0,Low
TXN000142,CUST1225,2024-03-08,Cash Withdrawal,19541.3,India,Low,Retail,Finance,3,0,0,0,0,0,15,0,1,2,1,0,9.88033662593696,0,0,0,0.3,0,Low
TXN000143,CUST1212,2024-10-03,Cash Deposit,200000.0,UK,Low,Corporate,Real Estate,5,1,0,0,0,0,35,0,1,0,0,5,12.206077645517674,0,1,0,5.2,0,Low
TXN000144,CUST1139,2024-09-03,Crypto Exchange,1833.89,Japan,Low,Corporate,Import/Export,3,0,0,0,0,0,0,0,1,0,2,4,7.51473981318778,0,0,0,0.1,0,Low
